,SD(node1),SD(node2),SD(node3),SD(node4),SD(node5)
s49,9.172224625824226,1.2133040174436285,9.099505319088673,2.1993923315422923,0.4311983297601717
s50,9.309666614151634,1.2255027779004422,9.236712439411448,2.2311149487055975,0.4354441396511344
s51,9.034427479448647,1.19938673458912,8.962608454354548,2.1654928320224536,0.42344505098977475
s52,9.175073347211068,1.2280110399695088,9.100427124323339,2.198010900902405,0.42859293706606316
s53,9.283009818368607,1.2290427309199117,9.20950656943301,2.224128491424041,0.433367721758394
s54,9.161648439786395,1.2217815323303405,9.088035291226529,2.1956494921861696,0.42947708970925486
s55,9.236640329878597,1.220792754283467,9.163938209040301,2.2147053457987407,0.43432442016105455
s56,9.056725655216713,1.2184756845061084,8.981996879264155,2.1700947514832096,0.42457775372558865
s57,9.132820347289616,1.2051231359585888,9.060868667346995,2.1891129881194065,0.428378131049789
s58,9.20482206553295,1.233026174656762,9.129820167147745,2.2063447225092894,0.43236316594057456
s59,9.21161606875639,1.222329780671385,9.138262687705518,2.207189650408988,0.4306991072883571
s60,9.150330179509034,1.2187138392746346,9.076703260984925,2.1928638757318324,0.4286050870044415
s61,9.271808528635104,1.2209564842777145,9.199773544315267,2.22233801441968,0.4339667579884803
s62,9.23320329966296,1.2180193098775456,9.160971254363947,2.213192611033647,0.43246283839860755
s63,9.072338145480295,1.218486963291696,8.997870044598692,2.173764679681368,0.42492661182896546
s64,9.108488361638097,1.2171291598079483,9.035084222787562,2.1824094736652753,0.4261172990466383
s65,9.195958620008463,1.2348623975832207,9.120491244744523,2.2025776054731114,0.4289733193512604
s66,9.151090377804517,1.2304156498136154,9.076394660552536,2.1917774728166495,0.4270141461731331
s67,9.08167402641073,1.2208528466134316,9.00673142767062,2.17710291921503,0.4278201484857411
s68,9.11536603565015,1.22659188722299,9.040558668338802,2.1840456490992324,0.4269951747857968
s69,9.253210281051393,1.225903526148886,9.179923112152625,2.2178821109387967,0.43408567366241735
s70,9.156350209296718,1.2263118816402343,9.081953425962773,2.1943440385764243,0.42913510835203
s71,9.136763510465164,1.225522654980273,9.062612510304826,2.190569530836115,0.43015928546598736
s72,9.03453725968565,1.2198123707990198,8.959435344742628,2.1643881404116705,0.4230427649485651
s73,9.063663408553206,1.234237838291224,8.986694046844763,2.1709474856330613,0.42409351305013887
s74,9.190956507482777,1.2439247708137247,9.11414467796826,2.200907194033848,0.4288871343649676
s75,9.186216365659622,1.2402291050402796,9.11032397849046,2.2021567569521485,0.4323209670218811
s76,9.157134500694927,1.2325723178353496,9.081621535424798,2.19316591766185,0.4277750455198194
s77,9.179006750116699,1.2451498701806587,9.101777457446405,2.1984356696014116,0.42903079726407284
s78,9.202507324695107,1.2414940462249457,9.12609805732881,2.2042253274856076,0.43025746886155053
s79,9.276502139360556,1.2482256506409701,9.200141940870653,2.222651023556925,0.4345523995202192
s80,9.080189780511217,1.2313630692964361,9.004014046359869,2.175305819922876,0.4253722071249972
s81,9.149372566174902,1.2407309822266461,9.072753719741781,2.192856259484177,0.42988099189279655
s82,9.20874926466418,1.2482404967519505,9.131366251338259,2.205875024592117,0.4304878116418887
s83,9.237802404668619,1.2492680804336538,9.160327049771418,2.2125747182583435,0.4315914667643539
s84,9.124467122652142,1.2339679319202301,9.048280089873195,2.187008091305505,0.42912456047373443
s85,9.141309611530355,1.2323407151209873,9.066039387031246,2.1898006016164904,0.4271853675086873
s86,9.193935451805066,1.2499989115248973,9.11590298570701,2.2018277580146397,0.42984698146165284
s87,9.099847037885924,1.2484338414727907,9.020874813837063,2.1796820963169403,0.42662128969008073
s88,9.116062010497602,1.2370002103183622,9.039164190960824,2.18427500797217,0.4274897034528749
s89,9.199851722657218,1.2437499667090592,9.123721076010426,2.2040182577736003,0.4303478807983971
s90,9.162949356553174,1.2472205806491747,9.085154511091183,2.1944527203455158,0.42779212894843205
s91,9.082893257350976,1.2440870988211765,9.005258237743863,2.174971665083009,0.42433718198455106
s92,9.156522047549702,1.252902991867914,9.078321787285265,2.194043270986808,0.43017528457957044
s93,9.239784750873765,1.2523450194975088,9.162870498133277,2.2139813009745337,0.4326159410067972
s94,9.10325143239746,1.2550672215384788,9.024309385159484,2.1799917488738347,0.4257055823259393
s95,9.089025545971438,1.2274477839117426,9.013337649547877,2.1776412444619933,0.4258645215007897
s96,9.032870465255579,1.2372660850050665,8.955152530650617,2.1633284317740133,0.4233003346770545
s97,9.18228429880532,1.2536476505433536,9.104163354393712,2.1988981174852893,0.4290106878734038
s98,9.191854589559874,1.2541948365865194,9.114035750463062,2.2020253496427684,0.4309572144453528
s99,9.112240959296207,1.2447432128076699,9.034595467846026,2.1825145533187116,0.4264486774261718
s100,9.220636172214693,1.2476260285115752,9.143966168597768,2.209344286519097,0.43231082325326964
s101,9.229348906302695,1.252769084196982,9.151855775236719,2.2104308134158255,0.4306418077030532
s102,9.061721402793866,1.2398345561798403,8.98417854557526,2.170540598035251,0.4245609108621103
s103,9.167008578746543,1.2557905235763855,9.089218741750486,2.1949978589244687,0.42739193926498376
s104,9.09177841874598,1.2517425727022746,9.0128130434222,2.177172382721937,0.4251130300109185
s105,9.229448165854441,1.2577100069248135,9.151216017411276,2.210659388528065,0.4321137842104731
s106,9.22770416762817,1.2585709505175717,9.149526319799726,2.2113300352110725,0.4332455676874504
s107,9.253043578224911,1.2710509261030665,9.173008672116678,2.21592681502204,0.43251649319726765
s108,9.09383208900159,1.265005755961135,9.012277014142741,2.176204545820258,0.4236842651869841
s109,9.20280450107357,1.2585052120183629,9.124102915049928,2.204227490376552,0.43053530688064406
s110,9.131543543636962,1.2533207372028383,9.05335224175018,2.1865098548853825,0.426194115190973
s111,9.183960313113307,1.2577285649834342,9.104802104982376,2.1992929236395913,0.42917139907619917
s112,9.045251747070255,1.2675167991498741,8.963231754216,2.165183935021096,0.4228132111243751
s113,9.282653926652342,1.2791529013221294,9.201533804770667,2.2225589263854237,0.43372928040940806
s114,9.12099271901892,1.2691400656001195,9.040288618012651,2.1837631612465365,0.42678020613185336
s115,9.235487557132508,1.2813115717031105,9.154018964001962,2.210236989888987,0.4303267062719824
s116,9.069208404288084,1.2603896436096826,8.98828196352293,2.1722938943474825,0.4253222895442188
s117,9.150059041241,1.270225501659014,9.06888346148873,2.1901682468432604,0.4269479125565056
s118,9.19537756283047,1.2708705042006496,9.115087330535268,2.2015367972854274,0.4296221646704757
s119,9.22151422898434,1.273239579064628,9.141077420610795,2.208757259338472,0.4318972851665193
s120,9.19752895785254,1.2672462248345193,9.117419876063057,2.202749503051785,0.4307175399472431
s121,9.126661604598185,1.2759217189286234,9.044488885819103,2.1850448285502595,0.42695917648665455
s122,9.162777157933414,1.273889404786566,9.081540437178601,2.1939843276408064,0.42855822475590605
s123,9.160289204802647,1.269323872417806,9.079622666947621,2.19361589300096,0.4287521702278998
s124,9.224820707532231,1.280140681364423,9.143427449937164,2.2097773316582447,0.4332286883762916
s125,9.159577409996801,1.2786824323068957,9.077060859231723,2.193122973496061,0.42875858127228783
s126,9.16804476758578,1.2728643259849493,9.087001562937473,2.195430777570771,0.4292974570631951
s127,9.284452490221,1.2841008322962828,9.202727278466302,2.2226879179471313,0.43371182793611984
s128,9.165382830738482,1.2787479345743944,9.083849859032362,2.19460422397148,0.42867348040184017
s129,9.128196728123996,1.2811131541886382,9.045847913489995,2.1860522267604714,0.4280820220072284
s130,9.222497862137464,1.2822539823144248,9.140472386311172,2.208718461312572,0.43246129044167625
s131,9.132248816438267,1.2809534612020785,9.049426834992476,2.1860000251330076,0.42678812977378383
s132,9.352547255194708,1.2860904775783761,9.271483060137632,2.2391185921212733,0.43619119981018084
s133,9.260208839045001,1.2827623988612582,9.178330759801135,2.218305082429472,0.43499686800394005
s134,9.140511373839402,1.283092238916033,9.057155803489415,2.188203592927632,0.42773709065811605
s135,9.071945840891855,1.2785018654753142,8.989515558117004,2.171251971668825,0.4234515947896321
s136,9.15396115877628,1.282275863469144,9.070998753959497,2.193050542743795,0.4306625155184899
s137,9.250781219338164,1.2783602452162361,9.169903215541959,2.2166121066695923,0.43478444508383274
s138,9.117532537599905,1.2894909014900526,9.033641995310168,2.1818581183608994,0.42595096650094116
s139,9.093307173690498,1.2802709963514136,9.010384213154092,2.1768788035456783,0.42577639677831214
s140,9.133346163539263,1.2909191106944498,9.049135597341412,2.1860429739746787,0.4270134245405802
s141,9.207102082213945,1.3019662676370611,9.121804703200842,2.203753080907806,0.43092752555310443
s142,9.020988747602212,1.2814367880378559,8.936690941991433,2.160197215842916,0.4240071709398869
s143,9.055640606290346,1.285698270345214,8.970789101464025,2.1670160979965853,0.4234368989937062
s144,9.24775333210594,1.2970488611998474,9.163878868079323,2.213607185178422,0.43249629776244186
s145,9.160491218080024,1.305849765658257,9.073725853718171,2.192550948766687,0.4296151728298383
s146,9.269838552586005,1.2898486288823041,9.18799000135321,2.220192781531045,0.4344631281529593
s147,9.228112531819319,1.2886684403927056,9.145587980862372,2.208872389495827,0.43082905429083723
s148,9.27398989957626,1.3155289950059745,9.187528373923577,2.2200047560981386,0.4344392664021915
s149,9.162978646530565,1.3059438482962802,9.076686060518243,2.1924542971155874,0.42778272878883816
s150,9.151268175830303,1.2911451467649555,9.067637699874597,2.190183149744585,0.4274868099738942
s151,9.072466722123147,1.3037054112203927,8.985495463633006,2.1717813036640368,0.42585419584160206
s152,9.01900902714638,1.281020410675649,8.935071533908669,2.1587199625768445,0.4226320230907106
s153,9.121907763860873,1.30546176031481,9.035205964834203,2.1831691855101436,0.427227179772799
s154,9.300265692053975,1.3089612644757027,9.214967259024604,2.225430545701463,0.43350824163282814
s155,9.075924334403059,1.3050432304782584,8.988435713756711,2.1713034020234776,0.42401691255548335
s156,9.157315689679635,1.3162018429268343,9.069025653063903,2.1915112016426748,0.4289259353242032
s157,9.19667214292517,1.3038184934247066,9.110916838686762,2.2007557937331317,0.4295737804581704
s158,9.135327754726744,1.313183040632302,9.047355986134155,2.184489813364494,0.42488869847274746
s159,9.200374246185346,1.3194286823411046,9.113177537036593,2.201442911334997,0.43001225173436086
s160,9.158678266258685,1.3182353643208502,9.070428493763865,2.1911991574850704,0.4283285849714365
s161,9.171508187436949,1.3185400958963056,9.082965369082363,2.1951612081761365,0.4298985735737668
s162,9.067445273096707,1.3043323554520625,8.979750930890564,2.169308164550083,0.4241064961893991
s163,9.09552103920235,1.3106619934844306,9.007532856379257,2.176634003662653,0.4263326868585026
s164,9.147157158953462,1.3138530150504055,9.060122225769524,2.189136263393055,0.42844681376135146
s165,9.227908603476227,1.3231702140536696,9.139840451109244,2.2071631152050117,0.42947029399469044
s166,9.207625384356435,1.330531289953108,9.118209644462032,2.204058584070328,0.43214173354455
s167,9.062948997967153,1.3150644676135552,8.973593740771197,2.1675472945271608,0.4230316230465054
s168,9.166735368847332,1.3130166165661035,9.080057471965917,2.1930912702738357,0.42747111014780226
s169,9.105264857428871,1.3180810738699347,9.01629394816985,2.178576039175391,0.4260512949176023
s170,9.101402755397048,1.30540983184375,9.014954775746098,2.1777384956095074,0.42516396630626346
s171,9.107778769261744,1.3052017888684202,9.020735997977603,2.179409356025476,0.4257705603243006
s172,9.060857636683703,1.3218691591019036,8.97108793105574,2.167255004716909,0.42351436381837104
s173,9.23291748075653,1.3145808797600005,9.145909849083477,2.2108991939490394,0.43367496855119575
s174,9.131712664885931,1.327865813195454,9.041590438065395,2.1843221268447093,0.4269515463079432
s175,9.090610301153044,1.3160980469912031,9.001516683001729,2.174926604073008,0.4252606231979194
s176,9.039233444411341,1.3252963085713898,8.948219452536096,2.161048712943615,0.4211880042159549
s177,9.121045416292722,1.3238969206896678,9.031378301558469,2.181654433533078,0.4259164380924094
s178,9.21960820075758,1.340236314875108,9.128509895547213,2.2050744946817105,0.4306663102925001
s179,9.105055690566806,1.3341226519552956,9.013789777792379,2.1766112915101288,0.4243255108897677
s180,9.137356527678516,1.3294093201827772,9.04762739169154,2.1858352599677215,0.4275548392176132
s181,9.08952806126364,1.3275069691136083,8.998463879153553,2.1734681919896275,0.42411303307102977
s182,9.238865567654168,1.3339543554993996,9.149457130156305,2.210796679916211,0.4329246724881597
s183,9.14062620433052,1.335524776476007,9.049335226721277,2.185839936092585,0.4266354609068104
s184,9.226441196324476,1.3339957795647557,9.137275159566705,2.208033789265543,0.43215757731937204
s185,9.219122508499446,1.3327567834926264,9.129212211298995,2.2054411993030385,0.43092709949788305
s186,9.261467163471368,1.3501896764383492,9.169507687419157,2.2141089407658927,0.4311972148539991
s187,9.204523104091352,1.3440313880662385,9.112849906039724,2.2003223276372683,0.4279699885109502
s188,9.1632068702136,1.3444613020878313,9.071107957427515,2.1911067115550926,0.4277711928594062
s189,9.253301325486971,1.3352362478676247,9.163596456434142,2.2134730635881055,0.4316647230120929
s190,9.32820012005354,1.3568179000648435,9.236120491431013,2.2303801693472525,0.4347144228590619
s191,9.13342506447482,1.3336984976917627,9.042338864217813,2.185274026557154,0.4285539210494554
s192,9.210529622548322,1.3291730375514792,9.121538034749936,2.2037352974985263,0.4307821769028682
s193,9.156091202154252,1.3417235513121761,9.063646837782994,2.189537686449852,0.4276873166099846
s194,9.272694843777893,1.3429851056687976,9.181953395451186,2.2177786178290364,0.4326242685397525
s195,9.092466458713554,1.3431180813863206,8.999252915881568,2.174652783078584,0.4259274856231894
s196,9.228437841096973,1.3491416770025337,9.136881657253912,2.2066109893537753,0.43008733204260313
s197,9.13280038159147,1.3583602822101981,9.038349430632397,2.18260199288693,0.42532584867426404
s198,9.211948130013837,1.356312454540593,9.118718285591957,2.2038837889259675,0.43239352400364917
s199,9.342776605860532,1.3521910020542554,9.25146719604885,2.2340068785305895,0.4348066002000565
s200,9.293618303676865,1.3630912004146098,9.200145383643433,2.222884642306634,0.434421167732004
