"SYMBOL","Description"
"EFS","embryonal Fyn-associated substrate"
"CDKN1B","cyclin-dependent kinase inhibitor 1B (p27, Kip1)"
"BET1","BET1 homolog (S. cerevisiae)"
"EIF1B","eukaryotic translation initiation factor 1B"
"SF3A1","splicing factor 3a, subunit 1, 120kDa"
"DNAJA2","DnaJ (Hsp40) homolog, subfamily A, member 2"
"CCNO","cyclin O"
"TCIRG1","T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3"
"CRISP3","cysteine-rich secretory protein 3"
"TRIM22","tripartite motif-containing 22"
"ABCA7","ATP-binding cassette, sub-family A (ABC1), member 7"
"WARS2","tryptophanyl tRNA synthetase 2, mitochondrial"
"HMG20B","high-mobility group 20B"
"CACNG3","calcium channel, voltage-dependent, gamma subunit 3"
"CACNG2","calcium channel, voltage-dependent, gamma subunit 2"
"TUBA1B","tubulin, alpha 1b"
"IRF9","interferon-stimulated transcription factor 3, gamma 48kDa"
"NOD1","nucleotide-binding oligomerization domain containing 1"
"ADAR","adenosine deaminase, RNA-specific"
"NDC80","NDC80 homolog, kinetochore complex component (S. cerevisiae)"
"IFITM3","interferon induced transmembrane protein 3 (1-8U)"
"CDIPT","CDP-diacylglycerol--inositol 3-phosphatidyltransferase (phosphatidylinositol synthase)"
"TMEM147","transmembrane protein 147"
"LYPLA1","lysophospholipase I"
"C1D","nuclear DNA-binding protein"
"CD52","CD52 molecule"
"ACAA2","acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)"
"TAB1","mitogen-activated protein kinase kinase kinase 7 interacting protein 1"
"GPNMB","glycoprotein (transmembrane) nmb"
"TACC3","transforming, acidic coiled-coil containing protein 3"
"PPIH","peptidylprolyl isomerase H (cyclophilin H)"
"HMGN4","high mobility group nucleosomal binding domain 4"
"ATP5PD","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit d"
"CREB3","cAMP responsive element binding protein 3"
"CEACAM5","carcinoembryonic antigen-related cell adhesion molecule 5"
"SYNCRIP","synaptotagmin binding, cytoplasmic RNA interacting protein"
"CARM1","coactivator-associated arginine methyltransferase 1"
"APPBP2","amyloid beta precursor protein (cytoplasmic tail) binding protein 2"
"CEBPB","CCAAT/enhancer binding protein (C/EBP), beta"
"DDX17","DEAD (Asp-Glu-Ala-Asp) box polypeptide 17"
"RNASEH2A","ribonuclease H2, subunit A"
"CEBPE","CCAAT/enhancer binding protein (C/EBP), epsilon"
"LAMTOR5","hepatitis B virus x interacting protein"
"PROCR","protein C receptor, endothelial (EPCR)"
"PRDX4","peroxiredoxin 4"
"AGR2","anterior gradient homolog 2 (Xenopus laevis)"
"HTATIP2","HIV-1 Tat interactive protein 2, 30kDa"
"SPTLC1","serine palmitoyltransferase, long chain base subunit 1"
"SLC35A1","solute carrier family 35 (CMP-sialic acid transporter), member A1"
"IFI44","interferon-induced protein 44"
"OLFM4","olfactomedin 4"
"CXCL13","chemokine (C-X-C motif) ligand 13 (B-cell chemoattractant)"
"CCT7","chaperonin containing TCP1, subunit 7 (eta)"
"CCT4","chaperonin containing TCP1, subunit 4 (delta)"
"CCT2","chaperonin containing TCP1, subunit 2 (beta)"
"SMC2","structural maintenance of chromosomes 2"
"AHSA1","AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)"
"SH2B2","SH2B adaptor protein 2"
"TGOLN2","trans-golgi network protein 2"
"CENPE","centromere protein E, 312kDa"
"POSTN","periostin, osteoblast specific factor"
"ATP5MG","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G"
"RASL10A","RAS-like, family 10, member A"
"NPRL2","tumor suppressor candidate 4"
"IGF2BP3","insulin-like growth factor 2 mRNA binding protein 3"
"YKT6","YKT6 v-SNARE homolog (S. cerevisiae)"
"CGRRF1","cell growth regulator with ring finger domain 1"
"RRAGA","Ras-related GTP binding A"
"DCTN6","dynactin 6"
"GNB5","guanine nucleotide binding protein (G protein), beta 5"
"DLL3","delta-like 3 (Drosophila)"
"CCT8","chaperonin containing TCP1, subunit 8 (theta)"
"CETN2","centrin, EF-hand protein, 2"
"CETN3","centrin, EF-hand protein, 3 (CDC31 homolog, yeast)"
"USP39","ubiquitin specific peptidase 39"
"POLD3","polymerase (DNA-directed), delta 3, accessory subunit"
"CETP","cholesteryl ester transfer protein, plasma"
"NUDC","nuclear distribution gene C homolog (A. nidulans)"
"STAG2","stromal antigen 2"
"CTSC","cathepsin C"
"NUP50","nucleoporin 50kDa"
"NES","nestin"
"HBS1L","HBS1-like (S. cerevisiae)"
"NCKAP1","NCK-associated protein 1"
"VAMP5","vesicle-associated membrane protein 5 (myobrevin)"
"MTHFD2","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
"ADCY1","adenylate cyclase 1 (brain)"
"CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)"
"UTP14A","UTP14, U3 small nucleolar ribonucleoprotein, homolog A (yeast)"
"CGA","glycoprotein hormones, alpha polypeptide"
"CCL27","chemokine (C-C motif) ligand 27"
"PGRMC1","progesterone receptor membrane component 1"
"TSPAN9","tetraspanin 9"
"WDR3","WD repeat domain 3"
"TXNL4A","thioredoxin-like 4A"
"UTS2","urotensin 2"
"GADD45G","growth arrest and DNA-damage-inducible, gamma"
"PAPOLA","poly(A) polymerase alpha"
"TCERG1","transcription elongation regulator 1"
"SUB1","SUB1 homolog (S. cerevisiae)"
"DBF4","DBF4 homolog (S. cerevisiae)"
"MORF4L1","mortality factor 4 like 1"
"AFG3L2","AFG3 ATPase family gene 3-like 2 (yeast)"
"SEC61B","Sec61 beta subunit"
"TMED2","transmembrane emp24 domain trafficking protein 2"
"IFI44L","interferon-induced protein 44-like"
"EBNA1BP2","EBNA1 binding protein 2"
"YWHAQ","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide"
"TMED10","transmembrane emp24-like trafficking protein 10 (yeast)"
"GCN1","GCN1 general control of amino-acid synthesis 1-like 1 (yeast)"
"COPS5","COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis)"
"METAP2","methionyl aminopeptidase 2"
"IMMT","inner membrane protein, mitochondrial (mitofilin)"
"SF3B2","splicing factor 3b, subunit 2, 145kDa"
"KIF2C","kinesin family member 2C"
"SNRNP27","putative nucleic acid binding protein RY-1"
"TMED1","transmembrane emp24 protein transport domain containing 1"
"ZPBP","zona pellucida binding protein"
"TOPBP1","topoisomerase (DNA) II binding protein 1"
"DNAJB4","DnaJ (Hsp40) homolog, subfamily B, member 4"
"SPACA9","chromosome 9 open reading frame 9"
"KRR1","KRR1, small subunit (SSU) processome component, homolog (yeast)"
"CIT","citron (rho-interacting, serine/threonine kinase 21)"
"CHEK1","CHK1 checkpoint homolog (S. pombe)"
"CLASRP","splicing factor, arginine/serine-rich 16"
"SLC7A9","solute carrier family 7 (cationic amino acid transporter, y+ system), member 9"
"CHGA","chromogranin A (parathyroid secretory protein 1)"
"CDC37","cell division cycle 37 homolog (S. cerevisiae)"
"DMC1","DMC1 dosage suppressor of mck1 homolog, meiosis-specific homologous recombination (yeast)"
"PLAAT3","HRAS-like suppressor 3"
"CORO1A","coronin, actin binding protein, 1A"
"AP4S1","adaptor-related protein complex 4, sigma 1 subunit"
"LSM6","LSM6 homolog, U6 small nuclear RNA associated (S. cerevisiae)"
"FSTL1","follistatin-like 1"
"WDHD1","WD repeat and HMG-box DNA binding protein 1"
"BAZ1A","bromodomain adjacent to zinc finger domain, 1A"
"MAP4K5","mitogen-activated protein kinase kinase kinase kinase 5"
"PKP3","plakophilin 3"
"CHIT1","chitinase 1 (chitotriosidase)"
"SUPT16H","suppressor of Ty 16 homolog (S. cerevisiae)"
"AKAP11","A kinase (PRKA) anchor protein 11"
"MRPL3","mitochondrial ribosomal protein L3"
"PDCD10","programmed cell death 10"
"KLHL2","kelch-like 2, Mayven (Drosophila)"
"MGAT4B","mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B"
"B4GALT7","xylosylprotein beta 1,4-galactosyltransferase, polypeptide 7 (galactosyltransferase I)"
"MED8","mediator complex subunit 8"
"CBX3","chromobox homolog 3 (HP1 gamma homolog, Drosophila)"
"GABARAP","GABA(A) receptor-associated protein"
"OIP5","Opa interacting protein 5"
"EXOSC8","exosome component 8"
"MGLL","monoglyceride lipase"
"GABARAPL2","GABA(A) receptor-associated protein-like 2"
"BUD23","Williams Beuren syndrome chromosome region 22"
"NLRP3","NLR family, pyrin domain containing 3"
"CHUK","conserved helix-loop-helix ubiquitous kinase"
"OSBPL7","oxysterol binding protein-like 7"
"ADCY8","adenylate cyclase 8 (brain)"
"TBCB","tubulin folding cofactor B"
"CKM","creatine kinase, muscle"
"TSR3","chromosome 16 open reading frame 42"
"ERCC8","excision repair cross-complementing rodent repair deficiency, complementation group 8"
"CKS2","CDC28 protein kinase regulatory subunit 2"
"RPL39L","ribosomal protein L39-like"
"FTSJ3","FtsJ homolog 3 (E. coli)"
"AP1S1","adaptor-related protein complex 1, sigma 1 subunit"
"CLC","Charcot-Leyden crystal protein"
"CLU","clusterin"
"CLTB","clathrin, light chain (Lcb)"
"CCR1","chemokine (C-C motif) receptor 1"
"CCR5","chemokine (C-C motif) receptor 5"
"CCR7","chemokine (C-C motif) receptor 7"
"ADH1A","alcohol dehydrogenase 1A (class I), alpha polypeptide"
"MISP","chromosome 19 open reading frame 21"
"HSPB6","heat shock protein, alpha-crystallin-related, B6"
"COL1A1","collagen, type I, alpha 1"
"COL3A1","collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)"
"COL4A2","collagen, type IV, alpha 2"
"COL5A1","collagen, type V, alpha 1"
"ADH5","alcohol dehydrogenase 5 (class III), chi polypeptide"
"COL5A2","collagen, type V, alpha 2"
"COL6A1","collagen, type VI, alpha 1"
"COL6A2","collagen, type VI, alpha 2"
"COL6A3","collagen, type VI, alpha 3"
"SERPINA3","serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3"
"COL15A1","collagen, type XV, alpha 1"
"COPA","coatomer protein complex, subunit alpha"
"COPB1","coatomer protein complex, subunit beta 1"
"COX5B","cytochrome c oxidase subunit Vb"
"COX6A2","cytochrome c oxidase subunit VIa polypeptide 2"
"COX6C","cytochrome c oxidase subunit VIc"
"COX7A1","cytochrome c oxidase subunit VIIa polypeptide 1 (muscle)"
"COX7A2","cytochrome c oxidase subunit VIIa polypeptide 2 (liver)"
"COX7C","cytochrome c oxidase subunit VIIc"
"COX8A","cytochrome c oxidase subunit 8A (ubiquitous)"
"COX15","COX15 homolog, cytochrome c oxidase assembly protein (yeast)"
"CP","ceruloplasmin (ferroxidase)"
"CPA1","carboxypeptidase A1 (pancreatic)"
"CPA3","carboxypeptidase A3 (mast cell)"
"CPB2","carboxypeptidase B2 (plasma)"
"CPOX","coproporphyrinogen oxidase"
"CREBBP","CREB binding protein (Rubinstein-Taybi syndrome)"
"CRK","v-crk sarcoma virus CT10 oncogene homolog (avian)"
"CRKL","v-crk sarcoma virus CT10 oncogene homolog (avian)-like"
"CRP","C-reactive protein, pentraxin-related"
"CRY1","cryptochrome 1 (photolyase-like)"
"RPL10L","ribosomal protein L10-like"
"SREK1","splicing factor, arginine/serine-rich 12"
"CRYAA","crystallin, alpha A"
"CRYBB3","crystallin, beta B3"
"CRYM","crystallin, mu"
"PARP1","poly (ADP-ribose) polymerase family, member 1"
"CS","citrate synthase"
"MAPK14","mitogen-activated protein kinase 14"
"CSF3","colony stimulating factor 3 (granulocyte)"
"CSK","c-src tyrosine kinase"
"CSNK1D","casein kinase 1, delta"
"CSNK1E","casein kinase 1, epsilon"
"CSNK2A1","casein kinase 2, alpha 1 polypeptide"
"CST4","cystatin S"
"CSTA","cystatin A (stefin A)"
"CSTF1","cleavage stimulation factor, 3' pre-RNA, subunit 1, 50kDa"
"TICAM1","toll-like receptor adaptor molecule 1"
"CTBP1","C-terminal binding protein 1"
"CTNNA1","catenin (cadherin-associated protein), alpha 1, 102kDa"
"CTNND1","catenin (cadherin-associated protein), delta 1"
"CTSD","cathepsin D"
"CTSG","cathepsin G"
"CTSH","cathepsin H"
"CTSZ","cathepsin Z"
"CYB5A","cytochrome b5 type A (microsomal)"
"CYC1","cytochrome c-1"
"CYP1A1","cytochrome P450, family 1, subfamily A, polypeptide 1"
"CYP2A6","cytochrome P450, family 2, subfamily A, polypeptide 6"
"ADRB2","adrenergic, beta-2-, receptor, surface"
"CYP11A1","cytochrome P450, family 11, subfamily A, polypeptide 1"
"CYP24A1","cytochrome P450, family 24, subfamily A, polypeptide 1"
"CYP51A1","cytochrome P450, family 51, subfamily A, polypeptide 1"
"AANAT","arylalkylamine N-acetyltransferase"
"DAXX","death-associated protein 6"
"AP2A2","adaptor-related protein complex 2, alpha 2 subunit"
"AP1B1","adaptor-related protein complex 1, beta 1 subunit"
"DCK","deoxycytidine kinase"
"DCN","decorin"
"ACE","angiotensin I converting enzyme (peptidyl-dipeptidase A) 1"
"DCT","dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)"
"DCTN1","dynactin 1 (p150, glued homolog, Drosophila)"
"DDC","dopa decarboxylase (aromatic L-amino acid decarboxylase)"
"AP1G1","adaptor-related protein complex 1, gamma 1 subunit"
"DDX5","DEAD (Asp-Glu-Ala-Asp) box polypeptide 5"
"DHX8","DEAH (Asp-Glu-Ala-His) box polypeptide 8"
"DHX9","DEAH (Asp-Glu-Ala-His) box polypeptide 9"
"DHX15","DEAH (Asp-Glu-Ala-His) box polypeptide 15"
"DECR1","2,4-dienoyl CoA reductase 1, mitochondrial"
"TLE5","amino-terminal enhancer of split"
"COCH","coagulation factor C homolog, cochlin (Limulus polyphemus)"
"DHCR7","7-dehydrocholesterol reductase"
"DHODH","dihydroorotate dehydrogenase"
"DHPS","deoxyhypusine synthase"
"DLD","dihydrolipoamide dehydrogenase"
"DLST","dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)"
"DNM1","dynamin 1"
"DNMT1","DNA (cytosine-5-)-methyltransferase 1"
"DNMT3A","DNA (cytosine-5-)-methyltransferase 3 alpha"
"AGL","amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)"
"DRD4","dopamine receptor D4"
"DRG2","developmentally regulated GTP binding protein 2"
"DSG3","desmoglein 3 (pemphigus vulgaris antigen)"
"DSP","desmoplakin"
"DTYMK","deoxythymidylate kinase (thymidylate kinase)"
"DVL2","dishevelled, dsh homolog 2 (Drosophila)"
"E2F1","E2F transcription factor 1"
"ECH1","enoyl Coenzyme A hydratase 1, peroxisomal"
"AGXT","alanine-glyoxylate aminotransferase"
"S1PR1","endothelial differentiation, sphingolipid G-protein-coupled receptor, 1"
"PHC2","polyhomeotic homolog 2 (Drosophila)"
"EEF1A2","eukaryotic translation elongation factor 1 alpha 2"
"AHCY","S-adenosylhomocysteine hydrolase"
"AGO3","eukaryotic translation initiation factor 2C, 3"
"EEF1D","eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)"
"EEF2","eukaryotic translation elongation factor 2"
"EIF2D","ligatin"
"EFNA2","ephrin-A2"
"EFNB1","ephrin-B1"
"EGF","epidermal growth factor (beta-urogastrone)"
"CELSR3","cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila)"
"EGFR","epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)"
"ZFC3H1","coiled-coil domain containing 131"
"EIF1AX","eukaryotic translation initiation factor 1A, X-linked"
"EIF2S1","eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa"
"EIF4A1","eukaryotic translation initiation factor 4A, isoform 1"
"EIF4A2","eukaryotic translation initiation factor 4A, isoform 2"
"AHSG","alpha-2-HS-glycoprotein"
"EIF4G1","eukaryotic translation initiation factor 4 gamma, 1"
"EIF5","eukaryotic translation initiation factor 5"
"EIF5A","eukaryotic translation initiation factor 5A"
"PIKFYVE","phosphatidylinositol-3-phosphate/phosphatidylinositol 5-kinase, type III"
"HACD2","protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b"
"TUBB","tubulin, beta"
"EP300","E1A binding protein p300"
"AK1","adenylate kinase 1"
"STX2","syntaxin 2"
"EPRS1","glutamyl-prolyl-tRNA synthetase"
"EPS8","epidermal growth factor receptor pathway substrate 8"
"EPS15","epidermal growth factor receptor pathway substrate 15"
"ERBB2","v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)"
"ERBB3","v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)"
"ERCC1","excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)"
"ERCC3","excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)"
"ERCC6","excision repair cross-complementing rodent repair deficiency, complementation group 6"
"FBL","fibrillarin"
"ESR2","estrogen receptor 2 (ER beta)"
"ETF1","eukaryotic translation termination factor 1"
"MECOM","ecotropic viral integration site 1"
"EXTL3","exostoses (multiple)-like 3"
"ALB","albumin"
"EZH2","enhancer of zeste homolog 2 (Drosophila)"
"F2","coagulation factor II (thrombin)"
"F9","coagulation factor IX (plasma thromboplastic component, Christmas disease, hemophilia B)"
"ABCD1","ATP-binding cassette, sub-family D (ALD), member 1"
"F12","coagulation factor XII (Hageman factor)"
"FABP1","fatty acid binding protein 1, liver"
"FANCE","Fanconi anemia, complementation group E"
"ACSL4","acyl-CoA synthetase long-chain family member 4"
"BPTF","bromodomain PHD finger transcription factor"
"FAP","fibroblast activation protein, alpha"
"FAT1","FAT tumor suppressor homolog 1 (Drosophila)"
"FCAR","Fc fragment of IgA, receptor for"
"FCER1A","Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide"
"FCER1G","Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide"
"MICU2","EF-hand domain family, member A1"
"FDPS","farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)"
"FEN1","flap structure-specific endonuclease 1"
"ALDH9A1","aldehyde dehydrogenase 9 family, member A1"
"FGB","fibrinogen beta chain"
"FGF2","fibroblast growth factor 2 (basic)"
"FH","fumarate hydratase"
"NID2","nidogen 2 (osteonidogen)"
"RRAS2","related RAS viral (r-ras) oncogene homolog 2"
"MRAS","muscle RAS oncogene homolog"
"FKBP1A","FK506 binding protein 1A, 12kDa"
"HSPA4L","heat shock 70kDa protein 4-like"
"RHOBTB3","Rho-related BTB domain containing 3"
"VASH1","vasohibin 1"
"AAK1","AP2 associated kinase 1"
"CPEB3","cytoplasmic polyadenylation element binding protein 3"
"CHSY1","carbohydrate (chondroitin) synthase 1"
"ATG14","KIAA0831"
"FKBP2","FK506 binding protein 2, 13kDa"
"PPP6R1","SAPS domain family, member 1"
"FKBP3","FK506 binding protein 3, 25kDa"
"UBOX5","U-box domain containing 5"
"FKBP4","FK506 binding protein 4, 59kDa"
"CEP164","centrosomal protein 164kDa"
"EPN2","epsin 2"
"NCBP2","nuclear cap binding protein subunit 2, 20kDa"
"ELL2","elongation factor, RNA polymerase II, 2"
"CCT5","chaperonin containing TCP1, subunit 5 (epsilon)"
"PDCD11","programmed cell death 11"
"EXOSC7","exosome component 7"
"KDM1A","amine oxidase (flavin containing) domain 2"
"KDM4B","jumonji domain containing 2B"
"WAPL","wings apart-like homolog (Drosophila)"
"RRP1B","ribosomal RNA processing 1 homolog B (S. cerevisiae)"
"KDM4C","jumonji domain containing 2C"
"PEG10","paternally expressed 10"
"ZC3H13","zinc finger CCCH-type containing 13"
"FOXO3","forkhead box O3"
"POGZ","pogo transposable element with ZNF domain"
"KDM6B","jumonji domain containing 3"
"SMC5","structural maintenance of chromosomes 5"
"MLANA","melan-A"
"TTLL12","tubulin tyrosine ligase-like family, member 12"
"METAP1","methionyl aminopeptidase 1"
"PASK","PAS domain containing serine/threonine kinase"
"LARP4B","La ribonucleoprotein domain family, member 5"
"FLOT2","flotillin 2"
"ARL6IP1","ADP-ribosylation factor-like 6 interacting protein 1"
"RRS1","RRS1 ribosome biogenesis regulator homolog (S. cerevisiae)"
"SYNE2","spectrin repeat containing, nuclear envelope 2"
"PLCB1","phospholipase C, beta 1 (phosphoinositide-specific)"
"MGA","MAX gene associated"
"NUP160","nucleoporin 160kDa"
"FMO2","flavin containing monooxygenase 2 (non-functional)"
"SMG6","Smg-6 homolog, nonsense mediated mRNA decay factor (C. elegans)"
"USP22","ubiquitin specific peptidase 22"
"FMR1","fragile X mental retardation 1"
"FN1","fibronectin 1"
"PPP1R13B","protein phosphatase 1, regulatory (inhibitor) subunit 13B"
"SMG5","Smg-5 homolog, nonsense mediated mRNA decay factor (C. elegans)"
"NCSTN","nicastrin"
"MED13L","mediator complex subunit 13-like"
"ECPAS","KIAA0368"
"ADNP","activity-dependent neuroprotector homeobox"
"PPWD1","peptidylprolyl isomerase domain and WD repeat containing 1"
"SIRT4","sirtuin (silent mating type information regulation 2 homolog) 4 (S. cerevisiae)"
"SIRT1","sirtuin (silent mating type information regulation 2 homolog) 1 (S. cerevisiae)"
"TDRD7","tudor domain containing 7"
"TPSD1","tryptase delta 1"
"TARDBP","TAR DNA binding protein"
"ATP1B4","ATPase, (Na+)/K+ transporting, beta 4 polypeptide"
"SF3B3","splicing factor 3b, subunit 3, 130kDa"
"SF3B1","splicing factor 3b, subunit 1, 155kDa"
"HEY1","hairy/enhancer-of-split related with YRPW motif 1"
"CBX5","chromobox homolog 5 (HP1 alpha homolog, Drosophila)"
"BRD4","bromodomain containing 4"
"SEC61G","Sec61 gamma subunit"
"CBX7","chromobox homolog 7"
"TMEM131","transmembrane protein 131"
"MTREX","superkiller viralicidic activity 2-like 2 (S. cerevisiae)"
"RPL13A","ribosomal protein L13a"
"SRRM2","serine/arginine repetitive matrix 2"
"PRAME","preferentially expressed antigen in melanoma"
"GTPBP4","GTP binding protein 4"
"ARL2BP","ADP-ribosylation factor-like 2 binding protein"
"FPGS","folylpolyglutamate synthase"
"RIGI","DEAD (Asp-Glu-Ala-Asp) box polypeptide 58"
"ORC6","origin recognition complex, subunit 6 like (yeast)"
"ORC3","origin recognition complex, subunit 3-like (yeast)"
"CD2AP","CD2-associated protein"
"MKRN2","makorin, ring finger protein, 2"
"BACE1","beta-site APP-cleaving enzyme 1"
"HSPBP1","hsp70-interacting protein"
"LY96","lymphocyte antigen 96"
"PPP1R15A","protein phosphatase 1, regulatory (inhibitor) subunit 15A"
"POLA2","polymerase (DNA directed), alpha 2 (70kD subunit)"
"PLA2G15","lysophospholipase 3 (lysosomal phospholipase A2)"
"SH3BP4","SH3-domain binding protein 4"
"RAB38","RAB38, member RAS oncogene family"
"ABCF1","ATP-binding cassette, sub-family F (GCN20), member 1"
"IFIT5","interferon-induced protein with tetratricopeptide repeats 5"
"FJX1","four jointed box 1 (Drosophila)"
"PRPF6","PRP6 pre-mRNA processing factor 6 homolog (S. cerevisiae)"
"MTOR","FK506 binding protein 12-rapamycin associated protein 1"
"FTH1","ferritin, heavy polypeptide 1"
"ALPL","alkaline phosphatase, liver/bone/kidney"
"FYN","FYN oncogene related to SRC, FGR, YES"
"IFI6","interferon, alpha-inducible protein 6"
"LPCAT4","1-acylglycerol-3-phosphate O-acyltransferase 7 (lysophosphatidic acid acyltransferase, eta)"
"GAA","glucosidase, alpha; acid (Pompe disease, glycogen storage disease type II)"
"GABPB1","GA binding protein transcription factor, beta subunit 2"
"BAMBI","BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)"
"GAK","cyclin G associated kinase"
"TXN2","thioredoxin 2"
"NIPBL","Nipped-B homolog (Drosophila)"
"RAB26","RAB26, member RAS oncogene family"
"MOB4","MOB1, Mps One Binder kinase activator-like 3 (yeast)"
"GALNT1","UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)"
"AHCTF1","AT hook containing transcription factor 1"
"NELFB","cofactor of BRCA1"
"NOL11","nucleolar protein 11"
"NGDN","neuroguidin, EIF4E binding protein"
"HIGD1A","HIG1 domain family, member 1A"
"IBTK","inhibitor of Bruton agammaglobulinemia tyrosine kinase"
"AMBP","alpha-1-microglobulin/bikunin precursor"
"TKFC","dihydroxyacetone kinase 2 homolog (S. cerevisiae)"
"LRIG1","leucine-rich repeats and immunoglobulin-like domains 1"
"IPCEF1","phosphoinositide-binding protein PIP3-E"
"ZNF451","zinc finger protein 451"
"UBXN7","UBX domain containing 7"
"SENP6","SUMO1/sentrin specific peptidase 6"
"DECR2","2,4-dienoyl CoA reductase 2, peroxisomal"
"PRPF31","PRP31 pre-mRNA processing factor 31 homolog (S. cerevisiae)"
"SERBP1","SERPINE1 mRNA binding protein 1"
"NOC2L","nucleolar complex associated 2 homolog (S. cerevisiae)"
"B3GAT3","beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I)"
"CLEC4E","C-type lectin domain family 4, member E"
"FBXO5","F-box protein 5"
"FGF20","fibroblast growth factor 20"
"GBP1","guanylate binding protein 1, interferon-inducible, 67kDa"
"GBP2","guanylate binding protein 2, interferon-inducible"
"GNL3","guanine nucleotide binding protein-like 3 (nucleolar)"
