"SYMBOL","ENTREZID","Description"
"RBM38",55544,"RNA binding motif protein 38"
"KLK15",55554,"kallikrein-related peptidase 15"
"ENOSF1",55556,"enolase superfamily member 1"
"PLXNA3",55558,"plexin A3"
"HAUS7",55559,"UCHL5 interacting protein"
"DNAH3",55567,"dynein, axonemal, heavy chain 3"
"GALNT10",55568,"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10 (GalNAc-T10)"
"STAB2",55576,"stabilin 2"
"NAGK",55577,"N-acetylglucosamine kinase"
"SUPT20H",55578,"family with sequence similarity 48, member A"
"PRIM1",5557,"primase, DNA, polypeptide 1 (49kDa)"
"CHRNA9",55584,"cholinergic receptor, nicotinic, alpha 9"
"UBE2Q1",55585,"ubiquitin-conjugating enzyme E2Q (putative) 1"
"BMP2K",55589,"BMP2 inducible kinase"
"PRIM2",5558,"primase, DNA, polypeptide 2 (58kDa)"
"ZCCHC8",55596,"zinc finger, CCHC domain containing 8"
"DDX60",55601,"hypothetical protein FLJ20035"
"CDKN2AIP",55602,"CDKN2A interacting protein"
"TENT5A",55603,"family with sequence similarity 46, member A"
"CARMIL1",55604,"leucine rich repeat containing 16"
"PPP1R9A",55607,"protein phosphatase 1, regulatory (inhibitor) subunit 9A"
"OTUB1",55611,"OTU domain, ubiquitin aldehyde binding 1"
"FERMT1",55612,"chromosome 20 open reading frame 42"
"MTMR8",55613,"myotubularin related protein 8"
"KIF16B",55614,"chromosome 20 open reading frame 23"
"PRR5",55615,"proline rich 5 (renal)"
"ASAP3",55616,"development and differentiation enhancing factor-like 1"
"TASP1",55617,"taspase, threonine aspartase, 1"
"DOCK10",55619,"dedicator of cytokinesis 10"
"STAP2",55620,"signal transducing adaptor family member 2"
"TRMT1",55621,"TRM1 tRNA methyltransferase 1 homolog (S. cerevisiae)"
"TTC27",55622,"tetratricopeptide repeat domain 27"
"THUMPD1",55623,"THUMP domain containing 1"
"POMGNT1",55624,"protein O-linked mannose beta1,2-N-acetylglucosaminyltransferase"
"AMBRA1",55626,"hypothetical protein FLJ20294"
"ZNF407",55628,"zinc finger protein 407"
"PNRC2",55629,"proline-rich nuclear receptor coactivator 2"
"PRKAA1",5562,"protein kinase, AMP-activated, alpha 1 catalytic subunit"
"SLC39A4",55630,"solute carrier family 39 (zinc transporter), member 4"
"LRRC40",55631,"leucine rich repeat containing 40"
"KRBOX4",55634,"zinc finger protein 673"
"CHD7",55636,"chromodomain helicase DNA binding protein 7"
"SYBU",55638,"Golgi-localized protein"
"PRKAA2",5563,"protein kinase, AMP-activated, alpha 2 catalytic subunit"
"BTBD2",55643,"BTB (POZ) domain containing 2"
"OSGEP",55644,"O-sialoglycoprotein endopeptidase"
"RAB20",55647,"RAB20, member RAS oncogene family"
"PRKAB1",5564,"protein kinase, AMP-activated, beta 1 non-catalytic subunit"
"PIGV",55650,"phosphatidylinositol glycan anchor biosynthesis, class V"
"NHP2",55651,"nucleolar protein family A, member 2 (H/ACA small nucleolar RNPs)"
"BCAS4",55653,"breast carcinoma amplified sequence 4"
"TMEM127",55654,"transmembrane protein 127"
"NLRP2",55655,"NLR family, pyrin domain containing 2"
"INTS8",55656,"integrator complex subunit 8"
"ZNF692",55657,"zinc finger protein 692"
"RNF126",55658,"ring finger protein 126"
"PRKAB2",5565,"protein kinase, AMP-activated, beta 2 non-catalytic subunit"
"PRPF40A",55660,"PRP40 pre-mRNA processing factor 40 homolog A (S. cerevisiae)"
"DDX27",55661,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 27"
"HIF1AN",55662,"hypoxia-inducible factor 1, alpha subunit inhibitor"
"ZNF446",55663,"zinc finger protein 446"
"CDC37L1",55664,"cell division cycle 37 homolog (S. cerevisiae)-like 1"
"NPLOC4",55666,"nuclear protein localization 4 homolog (S. cerevisiae)"
"GPATCH2L",55668,"chromosome 14 open reading frame 118"
"MFN1",55669,"mitofusin 1"
"PRKACA",5566,"protein kinase, cAMP-dependent, catalytic, alpha"
"PEX26",55670,"peroxisome biogenesis factor 26"
"PPP4R3A",55671,"SMEK homolog 1, suppressor of mek1 (Dictyostelium)"
"LIMS2",55679,"LIM and senescent cell antigen-like domains 2"
"PRKACB",5567,"protein kinase, cAMP-dependent, catalytic, beta"
"SCYL2",55681,"SCY1-like 2 (S. cerevisiae)"
"KANSL3",55683,"hypothetical protein FLJ10081"
"MREG",55686,"melanoregulin"
"TRMU",55687,"tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase"
"YEATS2",55689,"YEATS domain containing 2"
"PRKACG",5568,"protein kinase, cAMP-dependent, catalytic, gamma"
"PACS1",55690,"phosphofurin acidic cluster sorting protein 1"
"FRMD4A",55691,"FERM domain containing 4A"
"LUC7L",55692,"LUC7-like (S. cerevisiae)"
"KDM4D",55693,"jumonji domain containing 2D"
"NSUN5",55695,"NOL1/NOP2/Sun domain family, member 5"
"RBM22",55696,"RNA binding motif protein 22"
"VAC14",55697,"Vac14 homolog (S. cerevisiae)"
"IARS2",55699,"isoleucyl-tRNA synthetase 2, mitochondrial"
"PKIA",5569,"protein kinase (cAMP-dependent, catalytic) inhibitor alpha"
"YJU2",55702,"coiled-coil domain containing 94"
"POLR3B",55703,"polymerase (RNA) III (DNA directed) polypeptide B"
"CCDC88A",55704,"coiled-coil domain containing 88A"
"NDC1",55706,"transmembrane protein 48"
"NECAP2",55707,"NECAP endocytosis associated 2"
"KBTBD4",55709,"kelch repeat and BTB (POZ) domain containing 4"
"FAR2",55711,"male sterility domain containing 1"
"TENM3",55714,"odz, odd Oz/ten-m homolog 3 (Drosophila)"
"DOK4",55715,"docking protein 4"
"LMBR1L",55716,"limb region 1 homolog (mouse)-like"
"WDR11",55717,"bromodomain and WD repeat domain containing 2"
"POLR3E",55718,"polymerase (RNA) III (DNA directed) polypeptide E (80kD)"
"SLF2",55719,"chromosome 10 open reading frame 6"
"PRKAG1",5571,"protein kinase, AMP-activated, gamma 1 non-catalytic subunit"
"TSR1",55720,"TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)"
"IQCC",55721,"IQ motif containing C"
"CEP72",55722,"centrosomal protein 72kDa"
"ASF1B",55723,"ASF1 anti-silencing function 1 homolog B (S. cerevisiae)"
"INTS13",55726,"chromosome 12 open reading frame 11"
"BTBD7",55727,"BTB (POZ) domain containing 7"
"ATF7IP",55729,"activating transcription factor 7 interacting protein"
"HHAT",55733,"hedgehog acyltransferase"
"DNAJC11",55735,"DnaJ (Hsp40) homolog, subfamily C, member 11"
"VPS35",55737,"vacuolar protein sorting 35 homolog (S. cerevisiae)"
"ARFGAP1",55738,"ADP-ribosylation factor GTPase activating protein 1"
"NAXD",55739,"hypothetical protein FLJ10769"
"PRKAR1A",5573,"protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)"
"ENAH",55740,"enabled homolog (Drosophila)"
"EDEM2",55741,"ER degradation enhancer, mannosidase alpha-like 2"
"PARVA",55742,"parvin, alpha"
"CHFR",55743,"checkpoint with forkhead and ring finger domains"
"COA1",55744,"chromosome 7 open reading frame 44"
"AP5M1",55745,"chromosome 14 open reading frame 108"
"NUP133",55746,"nucleoporin 133kDa"
"CNDP2",55748,"CNDP dipeptidase 2 (metallopeptidase M20 family)"
"AGK",55750,"acylglycerol kinase"
"SEPTIN11",55752,"septin 11"
"OGDHL",55753,"oxoglutarate dehydrogenase-like"
"TMEM30A",55754,"transmembrane protein 30A"
"CDK5RAP2",55755,"CDK5 regulatory subunit associated protein 2"
"INTS9",55756,"integrator complex subunit 9"
"UGGT2",55757,"UDP-glucose ceramide glucosyltransferase-like 2"
"RCOR3",55758,"REST corepressor 3"
"WDR12",55759,"WD repeat domain 12"
"PRKAR1B",5575,"protein kinase, cAMP-dependent, regulatory, type I, beta"
"DHX32",55760,"DEAH (Asp-Glu-Ala-His) box polypeptide 32"
"ZNF701",55762,"zinc finger protein 701"
"EXOC1",55763,"exocyst complex component 1"
"IFT122",55764,"intraflagellar transport 122 homolog (Chlamydomonas)"
"H2AJ",55766,"H2A histone family, member J"
"NGLY1",55768,"N-glycanase 1"
"ZNF83",55769,"zinc finger protein 83"
"PRKAR2A",5576,"protein kinase, cAMP-dependent, regulatory, type II, alpha"
"EXOC2",55770,"exocyst complex component 2"
"TDP1",55775,"tyrosyl-DNA phosphodiesterase 1"
"PRKAR2B",5577,"protein kinase, cAMP-dependent, regulatory, type II, beta"
"RIOK2",55781,"RIO kinase 2 (yeast)"
"FGD6",55785,"FYVE, RhoGEF and PH domain containing 6"
"TXLNG",55787,"chromosome X open reading frame 15"
"LMBRD1",55788,"LMBR1 domain containing 1"
"PRKCA",5578,"protein kinase C, alpha"
"CSGALNACT1",55790,"chondroitin beta1,4 N-acetylgalactosaminyltransferase"
"LRIF1",55791,"chromosome 1 open reading frame 103"
"MINDY1",55793,"family with sequence similarity 63, member A"
"DDX28",55794,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 28"
"PCID2",55795,"PCI domain containing 2"
"MBNL3",55796,"muscleblind-like 3 (Drosophila)"
"CACNA2D3",55799,"calcium channel, voltage-dependent, alpha 2/delta 3 subunit"
"PRKCB",5579,"protein kinase C, beta 1"
"SCN3B",55800,"sodium channel, voltage-gated, type III, beta"
"IL26",55801,"interleukin 26"
"DCP1A",55802,"DCP1 decapping enzyme homolog A (S. cerevisiae)"
"ADAP2",55803,"centaurin, alpha 2"
"LRP2BP",55805,"LRP2 binding protein"
"PRKCD",5580,"protein kinase C, delta"
"FOXJ2",55810,"forkhead box J2"
"ADCY10",55811,"testicular soluble adenylyl cyclase"
"SPATA7",55812,"spermatogenesis associated 7"
"UTP6",55813,"UTP6, small subunit (SSU) processome component, homolog (yeast)"
"TSNAXIP1",55815,"translin-associated factor X interacting protein 1"
"DOK5",55816,"docking protein 5"
"KDM3A",55818,"jumonji domain containing 1A"
"RNF130",55819,"ring finger protein 130"
"PRKCE",5581,"protein kinase C, epsilon"
"ALLC",55821,"allantoicase"
"VPS11",55823,"vacuolar protein sorting 11 homolog (S. cerevisiae)"
"PECR",55825,"peroxisomal trans-2-enoyl-CoA reductase"
"DCAF6",55827,"IQ motif and WD repeats 1"
"PRKCG",5582,"protein kinase C, gamma"
"EMC3",55831,"transmembrane protein 111"
"CAND1",55832,"cullin-associated and neddylation-dissociated 1"
"UBAP2",55833,"ubiquitin associated protein 2"
"CENPJ",55835,"centromere protein J"
"EAPP",55837,"E2F-associated phosphoprotein"
"CENPN",55839,"centromere protein N"
"PRKCH",5583,"protein kinase C, eta"
"EAF2",55840,"ELL associated factor 2"
"WWC3",55841,"WWC family member 3"
"ARHGAP15",55843,"Rho GTPase activating protein 15"
"PPP2R2D",55844,"protein phosphatase 2, regulatory subunit B, delta isoform"
"ITFG2",55846,"integrin alpha FG-GAP repeat containing 2"
"CISD1",55847,"CDGSH iron sulfur domain 1"
"PLGRKT",55848,"chromosome 9 open reading frame 46"
"PRKCI",5584,"protein kinase C, iota"
"USE1",55850,"unconventional SNARE in the ER 1 homolog (S. cerevisiae)"
"PSENEN",55851,"presenilin enhancer 2 homolog (C. elegans)"
"ZC3H15",55854,"zinc finger CCCH-type containing 15"
"ACOT13",55856,"thioesterase superfamily member 2"
"TMEM165",55858,"transmembrane protein 165"
"BEX1",55859,"brain expressed, X-linked 1"
"PKN1",5585,"protein kinase N1"
"ACTR10",55860,"actin-related protein 10 homolog (S. cerevisiae)"
"ECHDC1",55862,"enoyl Coenzyme A hydratase domain containing 1"
"TMEM126B",55863,"transmembrane protein 126B"
"SLC22A11",55867,"solute carrier family 22 (organic anion/cation transporter), member 11"
"PKN2",5586,"protein kinase N2"
"ASH1L",55870,"ash1 (absent, small, or homeotic)-like (Drosophila)"
"PBK",55872,"PDZ binding kinase"
"GSDMB",55876,"gasdermin-like"
"GABRQ",55879,"gamma-aminobutyric acid (GABA) receptor, theta"
"PRKD1",5587,"protein kinase D1"
"WSB2",55884,"WD repeat and SOCS box-containing 2"
"LMO3",55885,"LIM domain only 3 (rhombotin-like 2)"
"ZKSCAN7",55888,"zinc finger protein 167"
"PRKCQ",5588,"protein kinase C, theta"
"GPRC5C",55890,"G protein-coupled receptor, family C, group 5, member C"
"MYNN",55892,"myoneurin"
"ZNF395",55893,"zinc finger protein 395"
"UNC45A",55898,"unc-45 homolog A (C. elegans)"
"PRKCSH",5589,"protein kinase C substrate 80K-H"
"AXL",558,"AXL receptor tyrosine kinase"
"ZNF302",55900,"zinc finger protein 302"
"RNF114",55905,"zinc finger protein 313"
"ZC4H2",55906,"KIAA1166"
"CMAS",55907,"cytidine monophosphate N-acetylneuraminic acid synthetase"
"ANGPTL8",55908,"hepatocellular carcinoma-associated gene TD26"
"BIN3",55909,"bridging integrator 3"
"PRKCZ",5590,"protein kinase C, zeta"
"APOBR",55911,"apolipoprotein B48 receptor"
"ERBIN",55914,"erbb2 interacting protein"
"LANCL2",55915,"LanC lantibiotic synthetase component C-like 2 (bacterial)"
"NXT2",55916,"nuclear transport factor 2-like export factor 2"
"PRKDC",5591,"protein kinase, DNA-activated, catalytic polypeptide"
"NKRF",55922,"NF-kappaB repressing factor"
"PRKG1",5592,"protein kinase, cGMP-dependent, type I"
"MYO5C",55930,"myosin VC"
"APOM",55937,"apolipoprotein M"
"PRKG2",5593,"protein kinase, cGMP-dependent, type II"
"MAPK1",5594,"mitogen-activated protein kinase 1"
"ZMAT5",55954,"zinc finger, matrin type 5"
"LIN37",55957,"lin-37 homolog (C. elegans)"
"KLHL9",55958,"kelch-like 9 (Drosophila)"
"MAPK3",5595,"mitogen-activated protein kinase 3"
"AJAP1",55966,"adherens junction associated protein 1"
"NSFL1C",55968,"NSFL1 (p97) cofactor (p47)"
"RAB5IF",55969,"chromosome 20 open reading frame 24"
"MAPK4",5596,"mitogen-activated protein kinase 4"
"GNG12",55970,"guanine nucleotide binding protein (G protein), gamma 12"
"BCAP29",55973,"B-cell receptor-associated protein 29"
"KLHL7",55975,"kelch-like 7 (Drosophila)"
"MAPK6",5597,"mitogen-activated protein kinase 6"
"MAPK7",5598,"mitogen-activated protein kinase 7"
"MAPK8",5599,"mitogen-activated protein kinase 8"
"ACP3",55,"acid phosphatase, prostate"
"NXF3",56000,"nuclear RNA export factor 3"
"MYDGF",56005,"chromosome 19 open reading frame 10"
"SMG9",56006,"chromosome 19 open reading frame 61"
"MAPK11",5600,"mitogen-activated protein kinase 11"
"MAPK9",5601,"mitogen-activated protein kinase 9"
"BARX1",56033,"BARX homeobox 1"
"PDGFC",56034,"platelet derived growth factor C"
"MAPK13",5603,"mitogen-activated protein kinase 13"
"MAP2K1",5604,"mitogen-activated protein kinase kinase 1"
"MAP2K2",5605,"mitogen-activated protein kinase kinase 2"
"UBFD1",56061,"ubiquitin family domain containing 1"
"MAP2K3",5606,"mitogen-activated protein kinase kinase 3"
"MAP2K5",5607,"mitogen-activated protein kinase kinase 5"
"MAP2K6",5608,"mitogen-activated protein kinase kinase 6"
"MAP2K7",5609,"mitogen-activated protein kinase kinase 7"
"EIF2AK2",5610,"eukaryotic translation initiation factor 2-alpha kinase 2"
"DNAJC3",5611,"DnaJ (Hsp40) homolog, subfamily C, member 3"
"THAP12",5612,"protein-kinase, interferon-inducible double stranded RNA dependent inhibitor, repressor of (P58 repressor)"
"PCDHA10",56139,"protocadherin alpha 10"
"PRKX",5613,"protein kinase, X-linked"
"PCDHA6",56142,"protocadherin alpha 6"
"PCDHA3",56145,"protocadherin alpha 3"
"PCDHA2",56146,"protocadherin alpha 2"
"TEX15",56154,"testis expressed 15"
"TEX14",56155,"testis expressed 14"
"TEX13A",56157,"testis expressed 13A"
"TEX12",56158,"testis expressed 12"
"TEX11",56159,"testis expressed 11"
"RNF17",56163,"ring finger protein 17"
"TDRD1",56165,"tudor domain containing 1"
"PRKY",5616,"protein kinase, Y-linked"
"DNAH7",56171,"dynein, axonemal, heavy chain 7"
"PRL",5617,"prolactin"
"MOSPD1",56180,"motile sperm domain containing 1"
"PRLR",5618,"prolactin receptor"
"PRM1",5619,"protamine 1"
"PRM2",5620,"protamine 2"
"PRNP",5621,"prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)"
"PSPN",5623,"persephin"
"BTNL2",56244,"butyrophilin-like 2 (MHC class II associated)"
"PROC",5624,"protein C (inactivator of coagulation factors Va and VIIIa)"
"YLPM1",56252,"YLP motif containing 1"
"CRTAM",56253,"cytotoxic and regulatory T cell molecule"
"MEPCE",56257,"methylphosphate capping enzyme"
"CTNNBL1",56259,"catenin, beta like 1"
"PRODH",5625,"proline dehydrogenase (oxidase) 1"
"KYAT3",56267,"cysteine conjugate-beta lyase 2"
"PROP1",5626,"PROP paired-like homeobox 1"
"WDR45B",56270,"WDR45-like"
"PROS1",5627,"protein S (alpha)"
"GKN1",56287,"gastrokine 1"
"PARD3",56288,"par-3 partitioning defective 3 homolog (C. elegans)"
"PROX1",5629,"prospero homeobox 1"
"IL36G",56300,"interleukin 1 family, member 9"
"SLC7A10",56301,"solute carrier family 7, (neutral amino acid transporter, y+ system) member 10"
"TRPV5",56302,"transient receptor potential cation channel, subfamily V, member 5"
"PRPH",5630,"peripherin"
"PRPS1",5631,"phosphoribosyl pyrophosphate synthetase 1"
"METTL3",56339,"methyltransferase like 3"
"PRMT8",56341,"protein arginine methyltransferase 8"
"PPAN",56342,"peter pan homolog (Drosophila)"
"PRPS2",5634,"phosphoribosyl pyrophosphate synthetase 2"
"PRPSAP1",5635,"phosphoribosyl pyrophosphate synthetase-associated protein 1"
"PRPSAP2",5636,"phosphoribosyl pyrophosphate synthetase-associated protein 2"
"PRRG1",5638,"proline rich Gla (G-carboxyglutamic acid) 1"
"PRRG2",5639,"proline rich Gla (G-carboxyglutamic acid) 2"
"AZGP1",563,"alpha-2-glycoprotein 1, zinc-binding"
"LTB4R2",56413,"leukotriene B4 receptor 2"
"LGMN",5641,"legumain"
"PRSS1",5644,"protease, serine, 1 (trypsin 1)"
"PRSS3",5646,"protease, serine, 3 (mesotrypsin)"
"CTPS2",56474,"CTP synthase II"
"RPRM",56475,"reprimo, TP53 dependent G2 arrest mediator candidate"
"EIF4ENIF1",56478,"eukaryotic translation initiation factor 4E nuclear import factor 1"
"MASP1",5648,"mannan-binding lectin serine peptidase 1 (C4/C2 activating component of Ra-reactive factor)"
"RELN",5649,"reelin"
"KLK7",5650,"kallikrein-related peptidase 7"
"TMPRSS15",5651,"protease, serine, 7 (enterokinase)"
"DNAJC12",56521,"DnaJ (Hsp40) homolog, subfamily C, member 12"
"PRSS8",5652,"protease, serine, 8"
"KLK6",5653,"kallikrein-related peptidase 6"
"MMP26",56547,"matrix metallopeptidase 26"
"CHST7",56548,"carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7"
"HTRA1",5654,"HtrA serine peptidase 1"
"KLK10",5655,"kallikrein-related peptidase 10"
"PRTN3",5657,"proteinase 3 (serine proteinase, neutrophil, Wegener granulomatosis autoantigen)"
"CYP26B1",56603,"cytochrome P450, family 26, subfamily B, polypeptide 1"
"ERO1B",56605,"ERO1-like beta (S. cerevisiae)"
"SLC2A9",56606,"solute carrier family 2 (facilitated glucose transporter), member 9"
"PSAP",5660,"prosaposin (variant Gaucher disease and variant metachromatic leukodystrophy)"
"DIABLO",56616,"diablo homolog (Drosophila)"
"INPP5E",56623,"inositol polyphosphate-5-phosphatase, 72 kDa"
"PSD",5662,"pleckstrin and Sec7 domain containing"
"PSEN1",5663,"presenilin 1 (Alzheimer disease 3)"
"BCCIP",56647,"BRCA2 and CDKN1A interacting protein"
"EIF5A2",56648,"eukaryotic translation initiation factor 5A2"
"TMPRSS4",56649,"transmembrane protease, serine 4"
"PSEN2",5664,"presenilin 2 (Alzheimer disease 4)"
"CLDND1",56650,"claudin domain containing 1"
"TWNK",56652,"progressive external ophthalmoplegia 1"
"NPDC1",56654,"neural proliferation, differentiation and control, 1"
"KCNK13",56659,"potassium channel, subfamily K, member 13"
"KCNK12",56660,"potassium channel, subfamily K, member 12"
"MUC13",56667,"mucin 13, cell surface associated"
"AKIP1",56672,"chromosome 11 open reading frame 17"
"ASCL3",56676,"achaete-scute complex homolog 3 (Drosophila)"
"SAR1A",56681,"SAR1 gene homolog A (S. cerevisiae)"
"CFAP298",56683,"chromosome 21 open reading frame 59"
"PSG1",5669,"pregnancy specific beta-1-glycoprotein 1"
"AZU1",566,"azurocidin 1 (cationic antimicrobial protein 37)"
"PSG2",5670,"pregnancy specific beta-1-glycoprotein 2"
"PSG3",5671,"pregnancy specific beta-1-glycoprotein 3"
"RETN",56729,"resistin"
"PSG4",5672,"pregnancy specific beta-1-glycoprotein 4"
"SLC2A4RG",56731,"SLC2A4 regulator"
"PSG5",5673,"pregnancy specific beta-1-glycoprotein 5"
"PSG6",5675,"pregnancy specific beta-1-glycoprotein 6"
"PSG9",5678,"pregnancy specific beta-1-glycoprotein 9"
"B2M",567,"beta-2-microglobulin"
"PSG11",5680,"pregnancy specific beta-1-glycoprotein 11"
"PSKH1",5681,"protein serine kinase H1"
"ZC3HAV1",56829,"zinc finger CCCH-type, antiviral 1"
"PSMA1",5682,"proteasome (prosome, macropain) subunit, alpha type, 1"
"PSMA2",5683,"proteasome (prosome, macropain) subunit, alpha type, 2"
"SPHK2",56848,"sphingosine kinase 2"
"PSMA3",5684,"proteasome (prosome, macropain) subunit, alpha type, 3"
"EMC7",56851,"chromosome 15 open reading frame 24"
"PSMA4",5685,"proteasome (prosome, macropain) subunit, alpha type, 4"
"PSMA5",5686,"proteasome (prosome, macropain) subunit, alpha type, 5"
"PSMA6",5687,"proteasome (prosome, macropain) subunit, alpha type, 6"
"CDC42SE1",56882,"CDC42 small effector 1"
"UGGT1",56886,"UDP-glucose ceramide glucosyltransferase-like 1"
"KCMF1",56888,"potassium channel modulatory factor 1"
"PSMA7",5688,"proteasome (prosome, macropain) subunit, alpha type, 7"
"TCIM",56892,"chromosome 8 open reading frame 4"
"AGPAT3",56894,"1-acylglycerol-3-phosphate O-acyltransferase 3"
"AGPAT4",56895,"1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)"
"BDH2",56898,"3-hydroxybutyrate dehydrogenase, type 2"
"PSMB1",5689,"proteasome (prosome, macropain) subunit, beta type, 1"
"NDUFA4L2",56901,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4-like 2"
"PNO1",56902,"partner of NOB1 homolog (S. cerevisiae)"
"PAPOLB",56903,"poly(A) polymerase beta (testis specific)"
"SH3GLB2",56904,"SH3-domain GRB2-like endophilin B2"
"PSMB2",5690,"proteasome (prosome, macropain) subunit, beta type, 2"
"STARD7",56910,"StAR-related lipid transfer (START) domain containing 7"
"IFT46",56912,"chromosome 11 open reading frame 60"
"C1GALT1",56913,"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1"
"EXOSC5",56915,"exosome component 5"
"PSMB3",5691,"proteasome (prosome, macropain) subunit, beta type, 3"
"SEMA3G",56920,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3G"
"MCCC1",56922,"methylcrotonoyl-Coenzyme A carboxylase 1 (alpha)"
"PAK6",56924,"p21(CDKN1A)-activated kinase 6"
"LXN",56925,"latexin"
"NCLN",56926,"nicalin homolog (zebrafish)"
"SPPL2B",56928,"signal peptide peptidase-like 2B"
"FEM1C",56929,"fem-1 homolog c (C. elegans)"
"PSMB4",5692,"proteasome (prosome, macropain) subunit, beta type, 4"
"CA10",56934,"carbonic anhydrase X"
"PMEPA1",56937,"transmembrane, prostate androgen induced RNA"
"BMAL2",56938,"aryl hydrocarbon receptor nuclear translocator-like 2"
"PSMB5",5693,"proteasome (prosome, macropain) subunit, beta type, 5"
"DUSP22",56940,"dual specificity phosphatase 22"
"CMC2",56942,"chromosome 16 open reading frame 61"
"ENY2",56943,"enhancer of yellow 2 homolog (Drosophila)"
"MRPS22",56945,"mitochondrial ribosomal protein S22"
"EMSY",56946,"chromosome 11 open reading frame 30"
"MFF",56947,"chromosome 2 open reading frame 33"
"XAB2",56949,"XPA binding protein 2"
"PSMB6",5694,"proteasome (prosome, macropain) subunit, beta type, 6"
"SMYD2",56950,"SET and MYND domain containing 2"
"NT5M",56953,"5',3'-nucleotidase, mitochondrial"
"NIT2",56954,"nitrilase family, member 2"
"MEPE",56955,"matrix, extracellular phosphoglycoprotein with ASARM motif (bone)"
"OTUD7B",56957,"OTU domain containing 7B"
"PSMB7",5695,"proteasome (prosome, macropain) subunit, beta type, 7"
"PARP6",56965,"poly (ADP-ribose) polymerase family, member 6"
"PSMB8",5696,"proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional peptidase 7)"
"PRDM9",56979,"PR domain containing 9"
"PYY",5697,"peptide YY"
"POGLUT1",56983,"KTEL (Lys-Tyr-Glu-Leu) containing 1"
"PSMG2",56984,"tumor necrosis factor superfamily, member 5-induced protein 1"
"ADPRM",56985,"chromosome 17 open reading frame 48"
"DTWD1",56986,"DTW domain containing 1"
"PSMB9",5698,"proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)"
"KIF15",56992,"kinesin family member 15"
"TOMM22",56993,"translocase of outer mitochondrial membrane 22 homolog (yeast)"
"CHPT1",56994,"choline phosphotransferase 1"
"TULP4",56995,"tubby like protein 4"
"COQ8A",56997,"chaperone, ABC1 activity of bc1 complex homolog (S. pombe)"
"CTNNBIP1",56998,"catenin, beta interacting protein 1"
"PSMB10",5699,"proteasome (prosome, macropain) subunit, beta type, 10"
"ACRV1",56,"acrosomal vesicle protein 1"
"SDHAF3",57001,"ACN9 homolog (S. cerevisiae)"
"CCDC47",57003,"coiled-coil domain containing 47"
"ACKR3",57007,"chemokine (C-X-C motif) receptor 7"
"AKR1B10",57016,"aldo-keto reductase family 1, member B10 (aldose reductase)"
"COQ9",57017,"coenzyme Q9 homolog (S. cerevisiae)"
"CCNL1",57018,"cyclin L1"
"CIAPIN1",57019,"cytokine induced apoptosis inhibitor 1"
"PSMC2",5701,"proteasome (prosome, macropain) 26S subunit, ATPase, 2"
"VPS35L",57020,"esophageal cancer associated protein"
"PSMC3",5702,"proteasome (prosome, macropain) 26S subunit, ATPase, 3"
"SLC17A7",57030,"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7"
"RSRP1",57035,"chromosome 1 open reading frame 63"
"ANKMY2",57037,"ankyrin repeat and MYND domain containing 2"
"TWSG1",57045,"twisted gastrulation homolog 1 (Drosophila)"
"PSMC4",5704,"proteasome (prosome, macropain) 26S subunit, ATPase, 4"
"UTP3",57050,"UTP3, small subunit (SSU) processome component, homolog (S. cerevisiae)"
"CHRNA10",57053,"cholinergic receptor, nicotinic, alpha 10"
"PSMC5",5705,"proteasome (prosome, macropain) 26S subunit, ATPase, 5"
"PCBP4",57060,"poly(rC) binding protein 4"
"DDX24",57062,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 24"
"PSMC6",5706,"proteasome (prosome, macropain) 26S subunit, ATPase, 6"
"PSMD1",5707,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 1"
"SLC17A6",57084,"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6"
"PSMD2",5708,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 2"
"CASS4",57091,"chromosome 20 open reading frame 32"
"RPGRIP1",57096,"retinitis pigmentosa GTPase regulator interacting protein 1"
"PARP11",57097,"poly (ADP-ribose) polymerase family, member 11"
"AVEN",57099,"apoptosis, caspase activation inhibitor"
"PSMD3",5709,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 3"
"BAAT",570,"bile acid Coenzyme A: amino acid N-acyltransferase (glycine N-choloyltransferase)"
